atleta_id,apelido,clube_id,foto,jogos_num,media_num,nome,pontos_num,posicao_id,preco_num,rodada_id,scout,status_id,variacao_num
78994,Eduardo Henrique,293,https://s.glbimg.com/es/sde/f/2017/05/10/45db49dd3d8dceb223dc6d2afdf72801_FORMATO.png,1,-0.30000000000000004,Eduardo Henrique da Silva,0.0,4,2.62,2,"{'FC': 1, 'FS': 1, 'PE': 1}",6,0.0
51175,Denis,276,https://s.glbimg.com/es/sde/f/2016/05/01/9e4d589b32947151072c21d1d5b71747_FORMATO.png,0,0.0,Denis Cesar de Matos,0.0,1,5.0,2,{},6,0.0
86740,João Lucas,303,https://s.glbimg.com/es/sde/f/2017/05/15/fa1caa8ea5726060cd391422d3fb93fc_FORMATO.png,2,4.35,João Lucas Cardoso,-2.7,2,10.1,2,"{'A': 1, 'FC': 1, 'PE': 14, 'RB': 2, 'SG': 1}",7,-0.79
72150,Fernandinho,303,https://s.glbimg.com/es/sde/f/2017/05/15/0d7fcc5d70203442a40e54487804a4f8_FORMATO.png,1,5.0,Fernando Galhardo Borges,0.0,2,5.66,2,{'SG': 1},6,0.0
68744,Emerson Sheik,303,https://s.glbimg.com/es/sde/f/2017/05/03/4d50522a1ed92d2c68bf6c2fae3a4f40_FORMATO.png,0,0.0,Márcio Passos de Albuquerque,0.0,5,6.0,2,{},6,0.0
78497,Arnaldo,263,https://s.glbimg.com/es/sde/f/2017/05/19/ff6d87578b92fff5c4d0ff68a60fc859_FORMATO.png,1,7.2,Arnaldo Manoel de Almeida,7.2,2,5.35,2,"{'FC': 2, 'FS': 2, 'PE': 4, 'RB': 2, 'SG': 1}",7,2.35
61188,Gilberto,276,https://s.glbimg.com/es/sde/f/2016/08/18/6af48de27fa231f0a84e3301c9451cb9_FORMATO.png,1,0.7000000000000001,Gilberto Oliveira Souza Júnior,0.0,5,5.45,2,{'FF': 1},6,0.0
62024,Edimar,276,https://s.glbimg.com/es/sde/f/2017/04/25/0991c88dd099660fdb7cfc88a4bedab1_FORMATO.png,0,0.0,Edimar Curitiba Fraga,0.0,2,5.0,2,{},6,0.0
63128,Douglas,276,https://s.glbimg.com/es/sde/f/2016/10/24/daecab9e41dda92b025a194ccf942d0e_FORMATO.png,0,0.0,Douglas Silva Bacelar,0.0,3,4.0,2,{},6,0.0
62129,Wellington,276,https://s.glbimg.com/es/sde/f/2016/05/01/a116ae1e36ff02160719ea8f1160f811_FORMATO.png,0,0.0,Wellington Aparecido Martins,0.0,4,3.0,2,{},6,0.0
81903,Wellington Simião,314,https://s.glbimg.com/es/sde/f/2017/05/17/952fdde5f058594fa74d531f91c1abf3_FORMATO.png,2,1.05,Wellington Simião,1.7000000000000002,4,2.61,2,"{'FF': 1, 'PE': 1, 'RB': 1}",6,0.21
83869,Diego Tavares,314,https://s.glbimg.com/es/sde/f/2017/05/17/c261da9d51b45bfbc208b291429eb1f8_FORMATO.png,2,4.25,Diego Barbosa Tavares,4.4,2,5.76,2,"{'FF': 3, 'FS': 4, 'I': 1, 'PE': 6, 'RB': 1, 'SG': 1}",7,2.15
99550,Fernando,263,https://s.glbimg.com/es/sde/f/2017/05/16/0243a49a67c8ced003f53d80efea1bb0_FORMATO.png,0,0.0,Fernando Peixoto Costanza,0.0,2,1.0,2,{},6,0.0
63422,Jucilei,276,https://s.glbimg.com/es/sde/f/2017/04/25/a6c1399add6e3c7d17ad9a708974cd21_FORMATO.png,2,6.65,Jucilei da Silva,5.0,4,13.04,2,"{'FC': 6, 'FS': 5, 'PE': 5, 'RB': 9}",7,1.51
71123,Thiago Mendes,276,https://s.glbimg.com/es/sde/f/2016/05/01/7bffad216f281ba79db7820b8448dae1_FORMATO.png,2,-1.4,Thiago Henrique Mendes Ribeiro,-3.8,4,5.35,2,"{'CA': 1, 'FC': 3, 'FS': 1, 'PE': 5, 'RB': 1}",5,-3.85
70222,Sidão,276,https://s.glbimg.com/es/sde/f/2017/04/25/6b33818b6514572559c1fef9b6ca9686_FORMATO.png,0,0.0,Sidney Aparecido Ramos da Silva,0.0,1,7.0,2,{},6,0.0
68932,Renan Ribeiro,276,https://s.glbimg.com/es/sde/f/2016/05/01/443bbaa43b246a9ce7d8a4e682ed4af6_FORMATO.png,2,4.2,Renan Ribeiro,4.4,1,9.3,2,"{'DD': 2, 'GS': 1, 'PE': 2, 'SG': 1}",7,0.81
98352,Bruno Guimarães,293,https://s.glbimg.com/es/sde/f/2017/05/11/f5024b3a361d2a09da365bea55b67c88_FORMATO.png,0,0.0,Bruno Guimarães Rodriguez Moura,0.0,4,1.0,2,{},6,0.0
86775,Petkovic,287,https://s.glbimg.com/es/sde/f/2017/05/11/52499e2d171627c1f347270b9b0321af_FORMATO.png,2,2.85,Dejan Petkovic,2.31,6,6.34,2,{},7,0.4
73340,Getterson,294,https://s.glbimg.com/es/sde/f/2017/05/12/c2b9040eda92184c6453ef41ede377fd_FORMATO.png,2,-0.15,Getterson Alves dos Santos,-0.7000000000000001,5,0.73,2,"{'CA': 1, 'FC': 3, 'FS': 2, 'PE': 4, 'RB': 2}",6,-0.26
82817,Tomas Bastos,294,https://s.glbimg.com/es/sde/f/2017/05/12/49edceaecc771a87995470ae4d955ddc_FORMATO.png,2,10.2,Tomas Almino Bastos Silva,2.5,4,16.61,2,"{'FC': 5, 'FD': 3, 'FF': 2, 'FS': 2, 'G': 2, 'PE': 12, 'RB': 3}",7,2.5300000000000002
71227,Maicon,276,https://s.glbimg.com/es/sde/f/2016/05/01/f3000bd2b412a315dad8796d7080a492_FORMATO.png,1,0.9,Maicon Pereira Roque,0.0,3,10.54,2,"{'FF': 1, 'PE': 5, 'RB': 1}",6,0.0
72297,Airton ,314,https://s.glbimg.com/es/sde/f/2015/01/28/bd16aa44c0f09bd98637e3efc8151a4b_FORMATO.jpeg,0,0.0,Airton Tirabassi,0.0,3,1.0,2,{},6,0.0
73619,Wellington Nem,276,https://s.glbimg.com/es/sde/f/2017/02/18/a23f9ff565dd24baa68eeca4461e1b86_FORMATO.png,0,0.0,Wellington Silva Sanches Aguiar,0.0,5,10.0,2,{},5,0.0
84847,Luan Peres ,303,https://s.glbimg.com/es/sde/f/2017/05/17/e84d4763ec064efa6f8ead749cd26b7f_FORMATO.png,0,0.0,Luan Peres Petroni,0.0,3,2.0,2,{},6,0.0
70742,Seijas,315,https://s.glbimg.com/es/sde/f/2017/05/14/6f1a3086afde752f257e478b7ddadf03_FORMATO.png,1,1.6,Luis Manuel Seijas Gunther,1.6,4,5.8100000000000005,2,"{'FC': 1, 'FS': 2, 'PE': 2, 'RB': 1}",6,-1.19
51700,Thiago Carleto,294,https://s.glbimg.com/es/sde/f/2017/05/15/e78cf3d6b6820ad71b0335abf0a64a0b_FORMATO.png,0,0.0,Thiago Carleto Alves,0.0,2,4.0,2,{},6,0.0
